,file_number,message_id,topic,author,link,domain,top_level_domain
172,93258,message #286855,SWT_AWT Linux-GTK crash ?,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=74095,bugs.eclipse.org,org
173,93403,message #287269,Eclipse 3.1 now available,Kim Moir,http://download.eclipse.org/eclipse/downloads/drops/R-3.1-200506271435/eclipse-news.html,download.eclipse.org,org
174,95917,message #294498,multiple masterpages (page orientation),Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=215923,bugs.eclipse.org,org
175,96057,message #294888,multiple masterpages (page orientation),Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=215923,bugs.eclipse.org,org
176,96852,message #297073,summarizable annotations,Cristian Amitroaie,http://www.eclipse.org/articles/Article-Folding-in-Eclipse-Text-Editors/folding.html#projectionSupport,www.eclipse.org,org
177,97231,message #298239,Eclipse-BuddyPolicy and loading resources (NOT classes) failing,Nathan Beyer (Cerner),https://bugs.eclipse.org/bugs/show_bug.cgi?id=110712,bugs.eclipse.org,org
178,97529,message #299155,Problem with linked projects,Eclipse User,http://www.eclipsezone.com/eclipse/forums/t63698.html,www.eclipsezone.com,com
179,635703,message #1229510,Logout / Terminate Session,Ralf Sternberg,http://eclipsesource.com/services/rap/,eclipsesource.com,com
180,658622,message #1255807,Gemini Blueprint Milestone shipped with OSGi R4.2?,Dmitry Sklyut,https://repo.eclipse.org/service/local/repositories/gemini-blueprint-snapshots/content/org/eclipse/gemini/blueprint/gemini-blueprint/2.0.0.BUILD-SNAPSHOT/gemini-blueprint-2.0.0.BUILD-20140225.012502-113.pom,repo.eclipse.org,org
181,178344,message #566642,Re: Ganymede: Platform Plugin Developer Guide?,Eric Rizzo,http://www.eclipse.org/downloads/,www.eclipse.org,org
